workload,run,mode,real_sec,user_sec,sys_sec
python_import,11,adaptive,0.5650,0.0140,0.0040
python_import,12,native,0.0290,0.0040,0.0060
python_import,12,none,0.5570,0.0080,0.0090
python_import,12,baseline,0.5570,0.0080,0.0090
python_import,12,adaptive,0.5450,0.0070,0.0110
python_import,13,native,0.0290,0.0080,0.0020
python_import,13,none,0.5610,0.0080,0.0100
python_import,13,baseline,0.5670,0.0060,0.0100
python_import,13,adaptive,0.5760,0.0080,0.0100
python_import,14,native,0.0290,0.0070,0.0030
python_import,14,none,0.5460,0.0050,0.0110
python_import,14,baseline,0.5530,0.0070,0.0080
python_import,14,adaptive,0.5550,0.0070,0.0090
python_import,15,native,0.0290,0.0030,0.0070
python_import,15,none,0.5470,0.0070,0.0090
python_import,15,baseline,0.5650,0.0070,0.0090
python_import,15,adaptive,0.5520,0.0100,0.0060
python_import,16,native,0.0290,0.0090,0.0010
python_import,16,none,0.5540,0.0170,0.0000
python_import,16,baseline,0.5600,0.0060,0.0100
python_import,16,adaptive,0.5590,0.0130,0.0060
python_import,17,native,0.0280,0.0060,0.0040
python_import,17,none,0.5590,0.0160,0.0010
python_import,17,baseline,0.5530,0.0080,0.0090
